Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
CARTER ROAG COAL COMPANY,Metinvest,20200414,loan,$0 ,"$3,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Tennessee,Johnson City,2112 North Roan street Ste 500,37601,TN - 01,212111,First Horizon Bank,194,The dollar amount of this loan was reported to be in a range of $2 million to $5 million. We are using the midpoint of that range: $3.5 million.,privately held,,,Ukraine,mining and minerals,mining & steel,0,0,$0 ,,$0 ,$0 ,"$3,719,872 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,metinvest,
CHEM-SOLV INC.,Chemsolv,20200430,loan,$0 ,"$1,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Virginia,Roanoke,1140 Industry Avenue P.O. Box 13847,24013,VA - 06,424690,First-Citizens Bank & Trust Company,98,The dollar amount of this loan was reported to be in a range of $1 million to $2 million. We are using the midpoint of that range: $1.5 million.,privately held,,Virginia,USA,wholesalers,wholesalers-chemicals,0,0,$0 ,,$0 ,$0 ,"$2,372,876 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,chemsolv,chemsolv
Anmed Health,AnMed Health,20200508,loan,$0 ,"$545,005 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,South Carolina,,,,,,,0,,privately held,,South Carolina,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$7,000,000 ","$1,295,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,yes,no,no,,,,anmed-health,
Anmed Health,AnMed Health,20200508,loan,$0 ,"$976,036 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,South Carolina,,,,,,,0,,privately held,,South Carolina,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$7,000,000 ","$1,295,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,yes,no,no,,,,anmed-health,
Anmed Health,AnMed Health,20200508,loan,$0 ,"$48,654,963 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,South Carolina,,,,,,,0,,privately held,,South Carolina,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$7,000,000 ","$1,295,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,yes,no,no,,,,anmed-health,
"Regents of the University of California, San Francisco, The",University of California,20200430,grant,"$571,712 ",$0 ,Health Resources & Services Administration,CARES Funding for Poison Centers,,https://data.hrsa.gov/tools/find-grants?program=Healthcare%20Systems,,California,San Francisco,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
COUNTRYMARK COOPERATIVE HOLDING CORPORATION,CountryMark,20200428,loan,$0 ,"$675,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Indiana,Indianapolis,225 S East Street Suite 144,46202,IN - 07,324110,First Merchants Bank,0,"The dollar amount of this loan was reported to be in a range of $350,000 to $1 million. We are using the midpoint of that range: $675,000.",cooperative,,Indiana,USA,agribusiness,agribusiness,0,0,$0 ,,$0 ,$0 ,"$18,422,573 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,countrymark,
COUNTRYMARK REFINING & LOGISTICS LLC,CountryMark,20200415,loan,$0 ,"$7,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Indiana,Mount Vernon,1200 REFINERY RD,47620,IN - 08,211120,First Merchants Bank,380,The dollar amount of this loan was reported to be in a range of $5 million to $10 million. We are using the midpoint of that range: $7.5 million.,cooperative,,Indiana,USA,agribusiness,agribusiness,0,0,$0 ,,$0 ,$0 ,"$18,422,573 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,countrymark,
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$501,895 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$514,476 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$524,300 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$527,467 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$577,198 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$639,992 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ala,Fresenius,20200508,loan,$0 ,"$684,179 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ama,Fresenius,20200508,loan,$0 ,"$948,743 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Are,Fresenius,20200508,loan,$0 ,"$871,548 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Puerto Rico,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ari,Fresenius,20200508,loan,$0 ,"$509,241 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arizona,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ari,Fresenius,20200508,loan,$0 ,"$629,629 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arizona,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ari,Fresenius,20200508,loan,$0 ,"$655,981 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arizona,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ari,Fresenius,20200508,loan,$0 ,"$717,546 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arizona,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ari,Fresenius,20200508,loan,$0 ,"$773,829 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arizona,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ark,Fresenius,20200508,loan,$0 ,"$541,012 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arkansas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Ark,Fresenius,20200508,loan,$0 ,"$642,231 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Arkansas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Biomedical Applications Of Baya,Fresenius,20200508,loan,$0 ,"$540,265 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Puerto Rico,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Cal,Fresenius,20200508,loan,$0 ,"$521,045 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Cal,Fresenius,20200508,loan,$0 ,"$527,663 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Cal,Fresenius,20200508,loan,$0 ,"$547,224 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Cal,Fresenius,20200508,loan,$0 ,"$549,161 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Cal,Fresenius,20200508,loan,$0 ,"$559,553 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
