Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
University Of Texas Health Science Center At Houston,University of Texas,20200409,grant,"$997,851 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Texas,Houston,,,,,,0,,non-profit,,Texas,USA,healthcare services,healthcare services,0,0,"$1,162,153 ",,$0 ,"$1,400,000 ","$49,500 ","$4,348,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,university-of-texas,
University Of Texas Health Science Center At San Antonio,University of Texas,20200409,grant,"$772,900 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Texas,San Antonio,,,,,,0,,non-profit,,Texas,USA,healthcare services,healthcare services,0,0,"$1,162,153 ",,$0 ,"$1,400,000 ","$49,500 ","$4,348,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,university-of-texas,
University Of Texas Medical Branch At Galveston,University of Texas,20200409,grant,"$550,876 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Texas,Galveston,,,,,,0,,non-profit,,Texas,USA,healthcare services,healthcare services,0,0,"$1,162,153 ",,$0 ,"$1,400,000 ","$49,500 ","$4,348,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,university-of-texas,
University Of Texas Of The Permian Basin,University of Texas,20200409,grant,"$920,008 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Texas,Odessa,,,,,,0,,non-profit,,Texas,USA,healthcare services,healthcare services,0,0,"$1,162,153 ",,$0 ,"$1,400,000 ","$49,500 ","$4,348,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,university-of-texas,
"Baycare Aurora, LLC",Advocate Aurora Health,20200508,loan,$0 ,"$30,273,924 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
21St Century Oncology Of Ala,21st Century Oncology,20200508,loan,$0 ,"$964,056 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$650,768 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$685,065 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$717,314 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$1,009,676 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$2,069,103 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$2,193,821 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$5,955,368 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
"21St Century Oncology, LLC",21st Century Oncology,20200508,loan,$0 ,"$20,372,306 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,privately held,,Florida,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$80,450,000 ",$0 ,"$2,300,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,21st-century-oncology,
Advocate Condell Medical Center,Advocate Aurora Health,20200508,loan,$0 ,"$48,735,885 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$612,927 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$841,245 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$4,216,866 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$4,892,341 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$13,356,487 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$21,359,050 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$37,622,268 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$41,511,036 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$93,240,897 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate Health And Hospitals C,Advocate Aurora Health,20200508,loan,$0 ,"$123,754,840 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate North Side Health Netw,Advocate Aurora Health,20200508,loan,$0 ,"$858,308 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate North Side Health Netw,Advocate Aurora Health,20200508,loan,$0 ,"$1,680,535 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Advocate North Side Health Netw,Advocate Aurora Health,20200508,loan,$0 ,"$35,412,603 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Illinois,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Central Inc,Advocate Aurora Health,20200508,loan,$0 ,"$12,004,305 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Metro Inc,Advocate Aurora Health,20200508,loan,$0 ,"$4,376,155 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Metro Inc,Advocate Aurora Health,20200508,loan,$0 ,"$143,821,840 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care North Inc,Advocate Aurora Health,20200508,loan,$0 ,"$5,529,747 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Southern Lak,Advocate Aurora Health,20200508,loan,$0 ,"$600,860 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Southern Lak,Advocate Aurora Health,20200508,loan,$0 ,"$776,368 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Southern Lak,Advocate Aurora Health,20200508,loan,$0 ,"$6,238,613 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Southern Lak,Advocate Aurora Health,20200508,loan,$0 ,"$9,215,111 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
Aurora Health Care Southern Lak,Advocate Aurora Health,20200508,loan,$0 ,"$11,558,152 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,non-profit,,Illinois,USA,healthcare services,hospitals,0,0,"$8,060,000 ",,$0 ,"$16,250,000 ","$657,660 ","$5,610,000 ",,$0 ,$0 ,$0 ,yes,no,yes,no,yes,no,,,,advocate-aurora-health,
