NAICSCode,naics_lvl_1,naics_lvl_2,naics_lvl_3,naics_lvl_4,naics_lvl_5
111411,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Food Crops Grown Under Cover,Mushroom Production
111419,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Food Crops Grown Under Cover,Other Food Crops Grown Under Cover
111421,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Nursery and Floriculture Production,Nursery and Tree Production
111422,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production",Nursery and Floriculture Production,Floriculture Production
111910,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,Tobacco Farming,Tobacco Farming
111920,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,Cotton Farming,Cotton Farming
111930,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,Sugarcane Farming,Sugarcane Farming
111940,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,Hay Farming,Hay Farming
111991,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,All Other Crop Farming,Sugar Beet Farming
111992,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,All Other Crop Farming,Peanut Farming
111998,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming,All Other Crop Farming,All Other Miscellaneous Crop Farming
112111,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming,"Beef Cattle Ranching and Farming, including Feedlots",Beef Cattle Ranching and Farming
112112,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming,"Beef Cattle Ranching and Farming, including Feedlots",Cattle Feedlots
112120,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production
112130,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming
112210,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming
112310,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production,Chicken Egg Production,Chicken Egg Production
112320,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production
112330,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production,Turkey Production,Turkey Production
112340,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production,Poultry Hatcheries,Poultry Hatcheries
112390,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production,Other Poultry Production,Other Poultry Production
112410,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Sheep and Goat Farming,Sheep Farming,Sheep Farming
112420,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Sheep and Goat Farming,Goat Farming,Goat Farming
112511,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture,Aquaculture,Finfish Farming and Fish Hatcheries
112512,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture,Aquaculture,Shellfish Farming
112519,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture,Aquaculture,Other Aquaculture
112910,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production,Apiculture,Apiculture
112920,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production,Horses and Other Equine Production,Horses and Other Equine Production
112930,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production
112990,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production,All Other Animal Production,All Other Animal Production
113110,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations
113210,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products
113310,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Logging,Logging,Logging
114111,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing,Fishing,Finfish Fishing
114112,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing,Fishing,Shellfish Fishing
114119,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing,Fishing,Other Marine Fishing
114210,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Hunting and Trapping,Hunting and Trapping,Hunting and Trapping
115111,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,Cotton Ginning
115112,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,"Soil Preparation, Planting, and Cultivating"
115113,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,"Crop Harvesting, Primarily by Machine"
115114,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,Postharvest Crop Activities (except Cotton Ginning)
115115,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,Farm Labor Contractors and Crew Leaders
115116,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production,Support Activities for Crop Production,Farm Management Services
115210,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production
115310,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry
211120,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,Oil and Gas Extraction,Crude Petroleum Extraction ,Crude Petroleum Extraction 
211130,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,Oil and Gas Extraction,Natural Gas Extraction ,Natural Gas Extraction 
212111,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining,Coal Mining,Bituminous Coal and Lignite Surface Mining
212112,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining,Coal Mining,Bituminous Coal Underground Mining
212113,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining,Coal Mining,Anthracite Mining
212210,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,Iron Ore Mining,Iron Ore Mining
212221,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,Gold Ore and Silver Ore Mining,Gold Ore Mining
212222,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,Gold Ore and Silver Ore Mining,Silver Ore Mining
212230,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,"Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining"
212291,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,Other Metal Ore Mining,Uranium-Radium-Vanadium Ore Mining
212299,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining,Other Metal Ore Mining,All Other Metal Ore Mining
212311,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Stone Mining and Quarrying,Dimension Stone Mining and Quarrying
212312,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Stone Mining and Quarrying,Crushed and Broken Limestone Mining and Quarrying
212313,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Stone Mining and Quarrying,Crushed and Broken Granite Mining and Quarrying
212319,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Stone Mining and Quarrying,Other Crushed and Broken Stone Mining and Quarrying
212321,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Construction Sand and Gravel Mining
212322,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Industrial Sand Mining
212324,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Kaolin and Ball Clay Mining
212325,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Clay and Ceramic and Refractory Minerals Mining
212391,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,"Potash, Soda, and Borate Mineral Mining"
212392,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,Phosphate Rock Mining
212393,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,Other Chemical and Fertilizer Mineral Mining
212399,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,All Other Nonmetallic Mineral Mining
213111,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Drilling Oil and Gas Wells
213112,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Oil and Gas Operations
213113,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Coal Mining
213114,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Metal Mining
213115,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Nonmetallic Minerals (except Fuels) Mining
221111,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Hydroelectric Power Generation
221112,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Fossil Fuel Electric Power Generation
221113,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Nuclear Electric Power Generation
221114,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Solar Electric Power Generation
221115,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Wind Electric Power Generation
221116,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Geothermal Electric Power Generation
221117,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Biomass Electric Power Generation
221118,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution",Electric Power Generation,Other Electric Power Generation
221121,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution","Electric Power Transmission, Control, and Distribution",Electric Bulk Power Transmission and Control
221122,Utilities,Utilities,"Electric Power Generation, Transmission and Distribution","Electric Power Transmission, Control, and Distribution",Electric Power Distribution
221210,Utilities,Utilities,Natural Gas Distribution,Natural Gas Distribution,Natural Gas Distribution
221310,Utilities,Utilities,"Water, Sewage and Other Systems",Water Supply and Irrigation Systems,Water Supply and Irrigation Systems
221320,Utilities,Utilities,"Water, Sewage and Other Systems",Sewage Treatment Facilities,Sewage Treatment Facilities
221330,Utilities,Utilities,"Water, Sewage and Other Systems",Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply
236115,Construction,Construction of Buildings,Residential Building Construction,Residential Building Construction,New Single-Family Housing Construction (except For-Sale Builders)
236116,Construction,Construction of Buildings,Residential Building Construction,Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders)
236117,Construction,Construction of Buildings,Residential Building Construction,Residential Building Construction,New Housing For-Sale Builders
236118,Construction,Construction of Buildings,Residential Building Construction,Residential Building Construction,Residential Remodelers
236210,Construction,Construction of Buildings,Nonresidential Building Construction,Industrial Building Construction,Industrial Building Construction
236220,Construction,Construction of Buildings,Nonresidential Building Construction,Commercial and Institutional Building Construction,Commercial and Institutional Building Construction
237110,Construction,Heavy and Civil Engineering Construction,Utility System Construction,Water and Sewer Line and Related Structures Construction,Water and Sewer Line and Related Structures Construction
237120,Construction,Heavy and Civil Engineering Construction,Utility System Construction,Oil and Gas Pipeline and Related Structures Construction,Oil and Gas Pipeline and Related Structures Construction
237130,Construction,Heavy and Civil Engineering Construction,Utility System Construction,Power and Communication Line and Related Structures Construction,Power and Communication Line and Related Structures Construction
237210,Construction,Heavy and Civil Engineering Construction,Land Subdivision,Land Subdivision,Land Subdivision
237310,Construction,Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction"
237990,Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction
238110,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Poured Concrete Foundation and Structure Contractors,Poured Concrete Foundation and Structure Contractors
238120,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Structural Steel and Precast Concrete Contractors,Structural Steel and Precast Concrete Contractors
238130,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Framing Contractors,Framing Contractors
238140,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Masonry Contractors,Masonry Contractors
238150,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Glass and Glazing Contractors,Glass and Glazing Contractors
238160,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Roofing Contractors,Roofing Contractors
238170,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors",Siding Contractors,Siding Contractors
238190,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors"
238210,Construction,Specialty Trade Contractors,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,Electrical Contractors and Other Wiring Installation Contractors
238220,Construction,Specialty Trade Contractors,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors"
238290,Construction,Specialty Trade Contractors,Building Equipment Contractors,Other Building Equipment Contractors,Other Building Equipment Contractors
238310,Construction,Specialty Trade Contractors,Building Finishing Contractors,Drywall and Insulation Contractors,Drywall and Insulation Contractors
238320,Construction,Specialty Trade Contractors,Building Finishing Contractors,Painting and Wall Covering Contractors,Painting and Wall Covering Contractors
238330,Construction,Specialty Trade Contractors,Building Finishing Contractors,Flooring Contractors,Flooring Contractors
238340,Construction,Specialty Trade Contractors,Building Finishing Contractors,Tile and Terrazzo Contractors,Tile and Terrazzo Contractors
238350,Construction,Specialty Trade Contractors,Building Finishing Contractors,Finish Carpentry Contractors,Finish Carpentry Contractors
238390,Construction,Specialty Trade Contractors,Building Finishing Contractors,Other Building Finishing Contractors,Other Building Finishing Contractors
238910,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors,Site Preparation Contractors,Site Preparation Contractors
238990,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors,All Other Specialty Trade Contractors,All Other Specialty Trade Contractors
311111,Manufacturing,Food Manufacturing,Animal Food Manufacturing,Animal Food Manufacturing,Dog and Cat Food Manufacturing
311119,Manufacturing,Food Manufacturing,Animal Food Manufacturing,Animal Food Manufacturing,Other Animal Food Manufacturing
311211,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Flour Milling and Malt Manufacturing,Flour Milling
311212,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Flour Milling and Malt Manufacturing,Rice Milling
311213,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Flour Milling and Malt Manufacturing,Malt Manufacturing
311221,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Starch and Vegetable Fats and Oils Manufacturing,Wet Corn Milling
311224,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Starch and Vegetable Fats and Oils Manufacturing,Soybean and Other Oilseed Processing
311225,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Starch and Vegetable Fats and Oils Manufacturing,Fats and Oils Refining and Blending
311230,Manufacturing,Food Manufacturing,Grain and Oilseed Milling,Breakfast Cereal Manufacturing,Breakfast Cereal Manufacturing
311313,Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing,Sugar Manufacturing,Beet Sugar Manufacturing
311314,Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing,Sugar Manufacturing,Cane Sugar Manufacturing
311340,Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing,Nonchocolate Confectionery Manufacturing,Nonchocolate Confectionery Manufacturing
311351,Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing,Chocolate and Confectionery Manufacturing,Chocolate and Confectionery Manufacturing from Cacao Beans
311352,Manufacturing,Food Manufacturing,Sugar and Confectionery Product Manufacturing,Chocolate and Confectionery Manufacturing,Confectionery Manufacturing from Purchased Chocolate
311411,Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Frozen Food Manufacturing,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Frozen Food Manufacturing,Frozen Specialty Food Manufacturing
311421,Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"Fruit and Vegetable Canning, Pickling, and Drying",Fruit and Vegetable Canning
311422,Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"Fruit and Vegetable Canning, Pickling, and Drying",Specialty Canning
311423,Manufacturing,Food Manufacturing,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"Fruit and Vegetable Canning, Pickling, and Drying",Dried and Dehydrated Food Manufacturing
311511,Manufacturing,Food Manufacturing,Dairy Product Manufacturing,Dairy Product (except Frozen) Manufacturing,Fluid Milk Manufacturing
311512,Manufacturing,Food Manufacturing,Dairy Product Manufacturing,Dairy Product (except Frozen) Manufacturing,Creamery Butter Manufacturing
311513,Manufacturing,Food Manufacturing,Dairy Product Manufacturing,Dairy Product (except Frozen) Manufacturing,Cheese Manufacturing
311514,Manufacturing,Food Manufacturing,Dairy Product Manufacturing,Dairy Product (except Frozen) Manufacturing,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311520,Manufacturing,Food Manufacturing,Dairy Product Manufacturing,Ice Cream and Frozen Dessert Manufacturing,Ice Cream and Frozen Dessert Manufacturing
311611,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing,Animal Slaughtering and Processing,Animal (except Poultry) Slaughtering
311612,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing,Animal Slaughtering and Processing,Meat Processed from Carcasses
311613,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing,Animal Slaughtering and Processing,Rendering and Meat Byproduct Processing
311615,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing,Animal Slaughtering and Processing,Poultry Processing
311710,Manufacturing,Food Manufacturing,Seafood Product Preparation and Packaging,Seafood Product Preparation and Packaging,Seafood Product Preparation and Packaging
311811,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,Bread and Bakery Product Manufacturing,Retail Bakeries
311812,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,Bread and Bakery Product Manufacturing,Commercial Bakeries
311813,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,Bread and Bakery Product Manufacturing,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
311821,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,"Cookie, Cracker, and Pasta Manufacturing",Cookie and Cracker Manufacturing
311824,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,"Cookie, Cracker, and Pasta Manufacturing","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311830,Manufacturing,Food Manufacturing,Bakeries and Tortilla Manufacturing,Tortilla Manufacturing,Tortilla Manufacturing
311911,Manufacturing,Food Manufacturing,Other Food Manufacturing,Snack Food Manufacturing,Roasted Nuts and Peanut Butter Manufacturing
311919,Manufacturing,Food Manufacturing,Other Food Manufacturing,Snack Food Manufacturing,Other Snack Food Manufacturing
311920,Manufacturing,Food Manufacturing,Other Food Manufacturing,Coffee and Tea Manufacturing,Coffee and Tea Manufacturing
311930,Manufacturing,Food Manufacturing,Other Food Manufacturing,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup and Concentrate Manufacturing
311941,Manufacturing,Food Manufacturing,Other Food Manufacturing,Seasoning and Dressing Manufacturing,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311942,Manufacturing,Food Manufacturing,Other Food Manufacturing,Seasoning and Dressing Manufacturing,Spice and Extract Manufacturing
311991,Manufacturing,Food Manufacturing,Other Food Manufacturing,All Other Food Manufacturing,Perishable Prepared Food Manufacturing
311999,Manufacturing,Food Manufacturing,Other Food Manufacturing,All Other Food Manufacturing,All Other Miscellaneous Food Manufacturing
312111,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Soft Drink and Ice Manufacturing,Soft Drink Manufacturing
312112,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Soft Drink and Ice Manufacturing,Bottled Water Manufacturing
312113,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Soft Drink and Ice Manufacturing,Ice Manufacturing
312120,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Breweries,Breweries
312130,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Wineries,Wineries
312140,Manufacturing,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,Distilleries,Distilleries
312230,Manufacturing,Beverage and Tobacco Product Manufacturing,Tobacco Manufacturing,Tobacco Manufacturing,Tobacco Manufacturing
313110,Manufacturing,Textile Mills,"Fiber, Yarn, and Thread Mills","Fiber, Yarn, and Thread Mills","Fiber, Yarn, and Thread Mills"
313210,Manufacturing,Textile Mills,Fabric Mills,Broadwoven Fabric Mills,Broadwoven Fabric Mills
313220,Manufacturing,Textile Mills,Fabric Mills,Narrow Fabric Mills and Schiffli Machine Embroidery,Narrow Fabric Mills and Schiffli Machine Embroidery
313230,Manufacturing,Textile Mills,Fabric Mills,Nonwoven Fabric Mills,Nonwoven Fabric Mills
313240,Manufacturing,Textile Mills,Fabric Mills,Knit Fabric Mills,Knit Fabric Mills
313310,Manufacturing,Textile Mills,Textile and Fabric Finishing and Fabric Coating Mills,Textile and Fabric Finishing Mills,Textile and Fabric Finishing Mills
313320,Manufacturing,Textile Mills,Textile and Fabric Finishing and Fabric Coating Mills,Fabric Coating Mills,Fabric Coating Mills
314110,Manufacturing,Textile Product Mills,Textile Furnishings Mills,Carpet and Rug Mills,Carpet and Rug Mills
314120,Manufacturing,Textile Product Mills,Textile Furnishings Mills,Curtain and Linen Mills,Curtain and Linen Mills
314910,Manufacturing,Textile Product Mills,Other Textile Product Mills,Textile Bag and Canvas Mills,Textile Bag and Canvas Mills
314994,Manufacturing,Textile Product Mills,Other Textile Product Mills,All Other Textile Product Mills,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
314999,Manufacturing,Textile Product Mills,Other Textile Product Mills,All Other Textile Product Mills,All Other Miscellaneous Textile Product Mills
